Cliente_ID,Nombre,Pais_Cliente,Ocupacion,Ingreso_Mensual,Nivel_Educativo,Genero,Edad,Estado_Civil,Canal_Adquisicion,Nivel_Satisfaccion,Fecha_Alta,Ciudad_Cliente,Telefono,Email
249198,James Parker,Argentina,Independiente,9930.17,Universitario,M,69,Divorciado,Referido,Bajo,2023-01-01,Port Susanview,830-126-5603x6685,johnsonvalerie@gmail.com
649349,Stephen Gates,Argentina,Independiente,7241.37,Básico,F,29,Divorciado,Campaña,Medio,2023-01-01,West Rodneyberg,940-060-6121x41243,wsheppard@hotmail.com
321602,Christina Diaz,Colombia,Estudiante,7136.04,Universitario,F,47,Soltero,Referido,Bajo,01/01/2023,North Stephanie,(148)055-4164,dscott@yahoo.com
320816,Matthew Martin,Colombia,Empleado,7754.42,Tecnólogo,F,63,Casado,Tienda,Medio,2023-01-01,Jenniferberg,001-656-359-1419x61037,kristen46@yahoo.com
928502,Todd Smith,Estados Unidos,Estudiante,8457.09,Posgrado,,19,Soltero,Web,Alto,2023-01-01,Byrdbury,852-390-0099x475,littleemily@hotmail.com
927440,Margaret Price,Colombia,Empleado,7383.53,Técnico,M,51,Unión Libre,Web,Bajo,2023-01-01,Morrisonfort,+1-327-348-0816,ejones@gmail.com
437113,Edward Robertson,Ecuador,Independiente,11230.3,Posgrado,M,70,Unión Libre,Campaña,Bajo,2023-01-01,Bushstad,+1-148-141-9747x113,brian60@yahoo.com
751958,Jason Jacobson,México,Independiente,1967.2,Técnico,M,69,Soltero,Referido,Alto,2023-01-01,Lake Amy,001-798-005-0485,kevinmanning@yahoo.com
517781,Mr. Jimmy Hill,Argentina,Independiente,,Posgrado,F,41,Unión Libre,Campaña,Alto,01/01/2023,Morrisonfort,+1-052-255-3403x5947,jamesgreen@smith-perez.net
944563,Matthew Nicholson,Argentina,Desempleado,4898.15,Técnico,F,41,Divorciado,Referido,Alto,01/01/2023,Jamesville,(625)894-5432x93286,qbernard@yahoo.com
555190,Steven Mendez,Brasil,Desempleado,5519.34,Básico,F,36,Divorciado,Web,Alto,2023-01-01,Taylorchester,001-453-573-5543,brightgabrielle@hotmail.com
481221,Craig Downs,Ecuador,Independiente,2047.01,Básico,F,38,Unión Libre,Campaña,Bajo,01/01/2023,Dustintown,561.269.8601x27537,terrimyers@gmail.com
659162,John Holt,España,Empleado,11850.47,Tecnólogo,M,46,Casado,Tienda,Bajo,2023-01-01,East Paigechester,750.546.4296,robert23@johnson.com
727356,Brandon Murphy,Colombia,Independiente,8226.45,Básico,F,54,Unión Libre,Web,Medio,01/01/2023,Craigfort,+1-249-000-7626x2439,tammyoconnell@yahoo.com
225690,Brian Delgado,Ecuador,Independiente,5339.92,Universitario,M,50,Divorciado,Referido,Alto,2023-01-01,Craigfort,001-865-089-5158,kellylewis@smith-cain.info
622232,Cameron Gibson,Ecuador,Estudiante,10832.28,Tecnólogo,M,30,Casado,Web,Medio,2023-01-01,Jamesville,032.473.7461x711,changchristopher@bell.net
625160,Jessica Brown,España,Estudiante,2011.91,Básico,M,29,Casado,Referido,Medio,2023-01-01,Lopezmouth,032.062.4135,iwilliams@hanson.com
774084,Dorothy Clark,Argentina,Empleado,5873.92,Posgrado,F,73,Unión Libre,Web,Alto,2023-01-01,Sarahfort,(135)728-8537,andrewmartinez@simon.com
